Season,Race,Track,Type,Pole Position,Winner,Winning Team,Winning Engine
1996,Indy 200 at Walt Disney World,Walt Disney World Speedway,Oval,Buddy Lazier,Buzz Calkins,Bradley,Ford Cosworth
1996,Dura Lube 200,Phoenix International Raceway,Oval,Arie Luyendyk,Arie Luyendyk,Byrd-Treadway,Ford Cosworth
1996,Indianapolis 500,Indianapolis Motor Speedway,Oval,Tony Steward,Buddy Lazier,Hemelgarn,Ford Cosworth
1996-97,True Value 200,New Hampshire International Speedway,Oval,Richie Hearn,Scott Sharp,AJ Foyt,Ford Cosworth
1996-97,1996 Las Vegas 500K,Las Vegas Motor Speedway,Oval,Arie Luyendyk,Richie Hearn,Della Penna,Ford Cosworth
1996-97,Indy 200 at Walt Disney World,Walt Disney World Speedway,Oval,Tony Steward,Eddie Cheever,Cheever,Oldsmobile
1996-97,Phoenix 200,Phoenix International Raceway,Oval,Tony Steward,Jim Guthrie,Blueprint,Oldsmobile
1996-97,Indianapolis 500,Indianapolis Motor Speedway,Oval,Arie Luyendyk,Arie Luyendyk,Treadway,Oldsmobile
1996-97,True Value 500,Texas Motor Speedway,Oval,Tony Steward,Arie Luyendyk,Treadway,Oldsmobile
1996-97,Samsonite 200,Pikes Peak International Raceway,Oval,Scott Sharp,Tony Stewart,Menard,Oldsmobile
1996-97,VisionAire 500,Charlotte Motor Speedway,Oval,Tony Steward,Buddy Lazier,Hemelgarn,Oldsmobile
1996-97,Pennzoil 200,New Hampshire International Speedway,Oval,Marco Greco,Robbie Buhl,Menard,Oldsmobile
1996-97,1997 Las Vegas 500K,Las Vegas Motor Speedway,Oval,Billy Boat,Eliseo Salazar,Scandia,Oldsmobile
1998,Indy 200 at Walt Disney World,Walt Disney World Speedway,Oval,Tony Steward,Tony Stewart,Menard,Oldsmobile
1998,Dura Lube 200,Phoenix International Raceway,Oval,Jeff Ward,Scott Sharp,Kelley,Oldsmobile
1998,Indianapolis 500,Indianapolis Motor Speedway,Oval,Billy Boat,Eddie Cheever,Cheever,Oldsmobile
1998,True Value 500,Texas Motor Speedway,Oval,Tony Steward,Billy Boat,AJ Foyt,Oldsmobile
1998,New England 200,New Hampshire International Speedway,Oval,Billy Boat,Tony Stewart,Menard,Oldsmobile
1998,Pep Boys 400K,Dover International Speedway,Oval,Tony Steward,Scott Sharp,Kelley,Oldsmobile
1998,VisionAire 500K,Charlotte Motor Speedway,Oval,Tony Steward,Kenny Brack,AJ Foyt,Oldsmobile
1998,Radisson 200,Pikes Peak International Raceway,Oval,Billy Boat,Kenny Brack,AJ Foyt,Oldsmobile
1998,Atlanta 500 Classic,Atlanta Motor Speedway,Oval,Billy Boat,Kenny Brack,AJ Foyt,Oldsmobile
1998,Lone Star 500,Texas Motor Speedway,Oval,Billy Boat,John Paul Jr.,Byrd-Cunningham,Oldsmobile
1998,Las Vegas 500K,Las Vegas Motor Speedway,Oval,Billy Boat,Arie Luyendyk,Treadway,Oldsmobile
1999,TransWorld Diversified Services Indy 200,Walt Disney World Speedway,Oval,Scott Sharp,Eddie Cheever,Cheever,Oldsmobile
1999,MCI World Com 200,Phoenix International Raceway,Oval,Greg Ray,Scott Goodyear,Panther,Oldsmobile
1999,VisionAire 500K,Charlotte Motor Speedway,Oval,Greg Ray,Cancelled,Cancelled,Cancelled
1999,Indianapolis 500,Indianapolis Motor Speedway,Oval,Arie Luyendyk,Kenny Brack,AJ Foyt,Oldsmobile
1999,Longhorn 500,Texas Motor Speedway,Oval,Mark Dismore,Scott Goodyear,Panther,Oldsmobile
1999,Radisson 200,Pikes Peak International Raceway,Oval,Greg Ray,Greg Ray,Menard,Oldsmobile
1999,Kobalt Mechanics Tools 500,Atlanta Motor Speedway,Oval,Billy Boat,Scott Sharp,Kelley,Oldsmobile
1999,MBNA Mid-Atlantic 200,Dover International Speedway,Oval,Mark Dismore,Greg Ray,Menard,Oldsmobile
1999,Colorado Indy 200,Pikes Peak International Raceway,Oval,Greg Ray,Greg Ray,Menard,Oldsmobile
1999,Vegas.com 500,Las Vegas Motor Speedway,Oval,Sam Schmidt,Sam Schmidt,Treadway,Oldsmobile
1999,Mall.com 500,Texas Motor Speedway,Oval,Greg Ray,Mark Dismore,Kelley,Oldsmobile
2000,Delphi Indy 200,Walt Disney World Speedway,Oval,Greg Ray,Robbie Buhl,Dreyer & Reinbold,Oldsmobile
2000,MCI World Com 200,Phoenix International Raceway,Oval,Greg Ray,Buddy Lazier,Hemelgarn,Oldsmobile
2000,Vegas Indy 300,Las Vegas Motor Speedway,Oval,Mark Dismore,Al Unser Jr.,Galles,Oldsmobile
2000,Indianapolis 500,Indianapolis Motor Speedway,Oval,Greg Ray,Juan Pablo Montoya,Chip Ganassi,Oldsmobile
2000,Casino Magic 500,Texas Motor Speedway,Oval,Buddy Lazier,Scott Sharp,Kelley,Oldsmobile
2000,Radisson 200,Pikes Peak International Raceway,Oval,Greg Ray,Eddie Cheever,Cheever,Infiniti
2000,Midas 500 Classic,Atlanta Motor Speedway,Oval,Greg Ray,Greg Ray,Menard,Oldsmobile
2000,Belterra Resort Indy 300,Kentucky Speedway,Oval,Scott Goodyear,Buddy Lazier,Hemelgarn,Oldsmobile
2000,Excite 500,Texas Motor Speedway,Oval,Greg Ray,Scott Goodyear,Panther,Oldsmobile
2001,Pennzoil Copper World Indy 200,Phoenix International Raceway,Oval,Greg Ray,Sam Hornish Jr.,Panther Racing,Oldsmobile
2001,Infiniti Grand Prix of Miami,Homestead-Miami Speedway,Oval,Jeff Ward,Sam Hornish Jr.,Panther Racing,Oldsmobile
2001,zMax 500,Atlanta Motor Speedway,Oval,Greg Ray,Greg Ray,Team Menard,Oldsmobile
2001,85th Indianapolis 500,Indianapolis Motor Speedway,Oval,Scott Sharp,Hélio Castroneves,Team Penske,Oldsmobile
2001,Casino Magic 500,Texas Motor Speedway,Oval,Mark Dismore,Scott Sharp,Kelley Racing,Oldsmobile
2001,Radisson Indy 200,Pikes Peak International Raceway,Oval,Greg Ray,Buddy Lazier,Hemelgarn Racing,Oldsmobile
2001,SunTrust Indy Challenge,Richmond International Raceway,Oval,Jaques Lazier,Buddy Lazier,Hemelgarn Racing,Oldsmobile
2001,Ameristar Casino Indy 200,Kansas Speedway,Oval,Scott Sharp,Eddie Cheever,Team Cheever,Infiniti
2001,Harrah's 200,Nashville Superspeedway,Oval,Greg Ray,Buddy Lazier,Hemelgarn Racing,Oldsmobile
2001,Belterra Resort Indy 300,Kentucky Speedway,Oval,Scott Sharp,Buddy Lazier,Hemelgarn Racing,Oldsmobile
2001,Gateway Indy 250,Gateway International Raceway,Oval,Sam Hornish Jr.,Al Unser Jr.,Galles Racing,Oldsmobile
2001,Delphi Indy 300,Chicagoland Speedway,Oval,Jaques Lazier,Jaques Lazier,Team Menard,Oldsmobile
2001,Chevy 500,Texas Motor Speedway,Oval,Sam Hornish Jr.,Sam Hornish Jr.,Panther Racing,Oldsmobile
2002,Grand Prix of Miami,Homestead-Miami Speedway,Oval,Sam Hornish Jr.,Sam Hornish Jr.,Panther Racing,Chevrolet
2002,Bombardier ATV 200,Phoenix International Raceway,Oval,Hélio Castroneves,Hélio Castroneves,Marlboro Team Penske,Chevrolet
2002,Yamaha Indy 400,California Speedway,Oval,Eddie Cheever,Sam Hornish Jr.,Panther Racing,Chevrolet
2002,Firestone Indy 225,Nazareth Speedway,Oval,Gil de Ferran,Scott Sharp,Kelley Racing,Chevrolet
