Driver,Rookie,Nr,Team,STP,TXS,LBH,ALA,INDY,QUAL,IN500,DET,ROA,MDO,TOR,IOW1,IOW2,IGP,NSH,GAT,POR,LAG,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,Country
Alex Palou,,10,Chip Ganassi,2,7,3,2,18,2,9,6,27,2,6,,,,,,,,L,,L,L,,L,L,,,,,,,,,,,ES
Alexander Rossi,,27,Andretti,20,27,8,9,11,20,5,2,3,19,23,,,,,,,,L,,,,,,,LP,,,,,,,,,,UM
Callum Ilott,R,77,Juncos Hollinger,19,16,24,25,8,19,32,,11,23,14,,,,,,,,,L,,,,,,,,,,,,,,,,GB
Christian Lundgaard,R,30,Rahal Letterman,11,19,18,15,9,31,18,14,10,11,8,,,,,,,,,,,,,,,L,,,,,,,,,,DK
Colton Herta,,26,Andretti,4,12,23,10,1,25,30,8,5,15,2,,,,,,,,,,LP,,ML,,,,L,LP,,,,,,,,UM
Conor Daly,,20,Ed Carpenter,21,18,12,19,5,18,6,12,14,13,20,,,,,,,,,,,,,L,,,,,,,,,,,,UM
Dalton Kellett,,4,AJ Foyt,25,17,26,23,27,29,27,20,23,22,24,,,,,,,,,,,,,,,,,,,,,,,,,CA
David Malukas,R,18,Dale Coyne,26,11,21,20,12,13,16,11,16,9,12,,,,,,,,,L,,,,,,,,,,,,,,,,UM
Devlin DeFrancesco,R,29,Andretti,22,24,25,17,21,24,20,18,18,17,18,,,,,,,,,,L,,,,,,,,,,,,,,,CA
Ed Carpenter,,33,Ed Carpenter,,13,,,,4,19,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,UM
Felix Rosenqvist,,7,Arrow McLaren,17,21,11,16,6,8,4,10,6,27,3,,,,,,,,,P,,,L,,,L,,L,,,,,,,,SE
Graham Rahal,,15,Rahal Letterman,7,22,7,8,16,21,14,26,8,12,4,,,,,,,,,,,,,,,,,L,,,,,,,,UM
Helio Castroneves,,6,Meyer Shank,14,23,9,21,14,27,7,25,22,8,17,,,,,,,,,L,,,,,,,,,,,,,,,,BR
J.R.Hildebrand,,11,AJ Foyt,,14,,,,17,12,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,UM
Jack Harvey,,45,Rahal Letterman,13,,15,18,13,32,24,15,13,20,19,,,,,,,,,,,,,,,,,,,,,,,,,GB
Jimmie Johnson,,48,Chip Ganassi,23,6,20,24,22,12,28,22,24,16,21,,,,,,,,,,,,,L,,,,,,,,,,,,UM
Josef Newgarden,,2,Penske,16,1,1,14,25,14,13,4,1,7,10,,,,,,,,,L,ML,L,,,LP,ML,,,,,,,,,,UM
Juan Pablo Montoya,,6,Arrow McLaren,,,,,24,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO
Kyle Kirkwood,R,14,AJ Foyt,18,25,10,22,26,28,17,24,20,26,22,,,,,,,,,L,,,,,,,,,,,,,,,,UM
Marco Andretti,,98,Andretti,,,,,,23,22,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,UM
Marcus Ericsson,,8,Chip Ganassi,9,3,22,12,4,5,1,7,2,6,5,,,,,,,,,L,,,L,L,,L,,,,,,,,,,SE
Pato O'Ward,,5,Arrow McLaren,12,15,5,1,19,7,2,5,26,24,11,,,,,,,,,,,L,L,L,,,LP,L,,,,,,,,MX
Rinus VeeKay,,21,Ed Carpenter,6,10,13,3,23,3,33,16,17,4,13,,,,,,,,L,L,,MLP,,L,,,,,,,,,,,,NL
Romain Grosjean,,28,Andretti,5,26,2,7,17,9,31,17,4,21,16,,,,,,,,,,,,,,,L,,,,,,,,,,FR
Sage Karam,,24,Dreyer & Reinbold,,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UM
Santino Ferucci,,23,3 Teams,,9,,,,15,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,UM
Scott Dixon,,9,Chip Ganassi,8,5,6,5,10,1,21,3,9,5,1,,,,,,,,L,,,,,ML,L,,,ML,,,,,,,,NZ
Scott McLaughlin,,3,Penske,1,2,14,6,20,26,29,19,7,1,9,,,,,,,,MLP,ML,,,L,,,,ML,,,,,,,,,NZ
Simon Pagenaud,,60,Meyer Shank,15,8,19,11,2,16,8,9,12,10,7,,,,,,,,,,,,,,,,,,,,,,,,,FR
Stefan Wilson,,25,Dragonspeed/Cusick,,,,,,33,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB
Takuma Sato,,51,Dale Coyne,10,20,17,13,7,10,25,13,15,14,25,,,,,,,,,L,,,,,,L,,,,,,,,,,JP
Tatiana Calderon,R,11,AJ Foyt,24,,16,26,15,,,23,25,25,,,,,,,,,,,,,L,,,,,,,,,,,,,CO
Tony Kanaan,,1,Chip Ganassi,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR
Will Power,,12,Penske,3,4,4,4,3,11,15,1,19,3,15,,,,,,,,L,L,L,,P,,ML,,,,,,,,,,,AU
Simona De Silvestro,,16,Paretta,,,,,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,CH
